Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
M. David Stirling,Male,White,Inactive,1976,1981,Assembly District 64,,,,,,,,,,,,,,,
Scott Wildman,Male,White,Inactive,1996,1999,Assembly District 43,,,,,,,,,,,,,,,
Donald Lorenzen,Male,White,Deceased,1969,1976,LA District 03,,,,,,,,,,,,,,,
Robert Philibosian,Male,White,Inactive,1982,1983,County District Attorney,,,,,,,,,,,,,,,
Kenneth W. Dyal,Male,White,Deceased,1964,1965,US District 33,,,,,,,,,,,,,,,
Ralph Dills,Male,White,Deceased,1966,1973,Senate District 32,1974,1997,Senate District 28,1982,1993,Senate District 30,,,,,,,,,
Robert Stevenson,Male,White,Deceased,1969,1974,LA District 13,,,,,,,,,,,,,,,
Paul Krekorian,Male,White,Active,2006,2009,Assembly District 43,2009,2016,LA District 02,,,,,,,,,,,,
Ernest J. Dronenburg, Jr.,Male,White,Inactive,1994,1997,BOE District 3,,,,,,,,,,,,,,,
Robert Docter,Male,White,Inactive,1969,1976,LAUSD AL 4,,,,,,,,,,,,,,,
Curt Hagman,Male,White,Inactive,2008,2011,Assembly District 60,2012,2013,Assembly District 55,,,,,,,,,,,,
Lou Cusanovich,Male,White,Deceased,1959,1965,Assembly District 64,1966,1975,Senate District 23,1973,1979,Senate District 19,,,,,,,,,
Mark W. Hannaford,Male,White,Deceased,1974,1977,US District 34,,,,,,,,,,,,,,,
Jack Scott,Male,White,Inactive,1996,1999,Assembly District 44,2000,2007,Senate District 21,,,,,,,,,,,,
Jerry Pettis,Male,White,Deceased,1966,1973,US District 33,1974,1974,US District 37,,,,,,,,,,,,
George Runner,Male,White,Active,1996,2001,Assembly District 36,2004,2010,Senate District 17,2010,2013,BOE District 2,2014,2016,BOE District 1,,,,,,
James Wedworth,Male,White,Deceased,1966,1975,Senate District 31,1974,1975,Senate District 27,,,,,,,,,,,,
